Title,URL,Price,Location,Image,Offer type,Rooms,Area,Price per m²
Dom typ Eco Smart House 188mkw 6 pokoi,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/dom-typ-eco-smart-house-188mkw-6-pokoi-ID4uPgC,1 199 000 zł,"ul. Kobiałka, Kobiałka, Białołęka, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9iZjJ3YXE4aGx1NzEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.bebHvnUFWbTgz2rSq7bT2fd1DMVUCFb-fb2i1sbSV6E/image;s=655x491;q=80,Oferta prywatna,6 pokoi,188.87 m²,6348 zł/m²
Luxury House | 600M2 | 6 Bedrooms | Ac | Garden,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/luxury-house-600m2-6-bedrooms-ac-garden-ID4wbsi,7 900 000 zł,"ul. Syta, Zawady, Wilanów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imt2dm8xaGN6YTgyczItRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.20JCrthjV8sw3MHg_OWtkrc8PbspqKyfmSYhwLrDED8/image;s=655x491;q=80,"Tarachulska Real Estate & Finance Warsaw
Biuro nieruchomości",9 pokoi,600 m²,13 167 zł/m²
Segment środkowy w przyjaznej okolicy,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/segment-srodkowy-w-przyjaznej-okolicy-ID4sYcS,1 750 000 zł,"ul. Piastowska, Czechowice, Ursus, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRrcGx3Nmxndm50cDMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.y48eddjJghQhGmdZj1WSqbQXGBccPKY9allwSCsALn0/image;s=655x491;q=80,Oferta prywatna,6 pokoi,120 m²,14 583 zł/m²
Ul. Krasickiego - Piękny Mokotów,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/ul-krasickiego-piekny-mokotow-ID4t2Yl,7 990 000 zł,"ul. Ignacego Krasickiego, Wierzbno, Mokotów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImE4dWliMzExdnliei1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.X4E-LTHMfnt8p9LCSKbO8HPFJL-2hFsShYgWS9PtxFI/image;s=655x491;q=80,"Biuro Nieruchomości Joanna - House
Biuro nieruchomości",7 pokoi,249 m²,32 088 zł/m²
5-pokojowy dom 134m2 + ogródek Bezpośrednio,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/5-pokojowy-dom-134m2-ogrodek-bezposrednio-ID4ug22,Zapytaj o cenę,"ul. Stasinek, Nowodwory, Białołęka, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Iml4ZmhxeGNmNm80dC1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.18Um_9UydR8ZVbAvACQpOGC7cKcRRoeCdIoM8wjK_Ks/image;s=655x491;q=80,"Muniak Development
Deweloper",5 pokoi,134.72 m²,N/A
Dom dla osób poszukujących najwyższej jakości,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/dom-dla-osob-poszukujacych-najwyzszej-jakosci-ID4u7A0,3 499 000 zł,"ul. Podmiejska, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9reDJ5emQzbW14bjMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.tNEizqY9Yts175CyFJqe7p45SCelAkWDi17UEBXmKjE/image;s=655x491;q=80,Biuro nieruchomości,6 pokoi,277.1 m²,12 627 zł/m²
,https://www.otodom.plhttps://www.otodom.pl/hpr/pl/oferta/5-pokojowy-dom-270m2-ogrodek-bez-posrednikow-ID4wge1,,,,,N/A,N/A,N/A
Nowy Segment - Wawer MASŁOWIECKA 18,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/nowy-segment-wawer-maslowiecka-18-ID4r1s2,1 360 000 zł,"ul. Masłowiecka, Zerzeń, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZkOHQ0bWVleHdsZjItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.4iVetfYIGxE6qaM8z6gy9cMv0T2YZPMIFxDSr_NxJMs/image;s=655x491;q=80,Oferta prywatna,5 pokoi,106 m²,12 830 zł/m²
Segment z 200m ogrodem - ul. Masłowiecka,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/segment-z-200m-ogrodem-ul-maslowiecka-ID4sDcz,1 460 000 zł,"Międzylesie, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InhudHY1ZDJ0ODJzaC1BUEwiLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.W-9aVSsPM2BmhTN3lA8F545Z7RBChX4x2MQL-Z1KXf8/image;s=655x491;q=80,Oferta prywatna,6 pokoi,128 m²,11 406 zł/m²
"Segment 127m z 2016, URSYNÓW, BEZPOŚREDNIO",https://www.otodom.plhttps://www.otodom.pl/pl/oferta/segment-127m-z-2016-ursynow-bezposrednio-ID4tOyr,1 130 000 zł,"ul. Kądziołeczki 54L, Grabów, Ursynów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQ5YWN1ajE4eTR2NjItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.o5yawVR6D0gU93YL7J1pYRptSMc5oJi-2KmX-RD-DtQ/image;s=655x491;q=80,Oferta prywatna,4 pokoje,127 m²,8898 zł/m²
Przytulny Segment Przy Wejściu Do Lasu Kabackiego,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/przytulny-segment-przy-wejsciu-do-lasu-kabackiego-ID4w9ix,4 990 000 zł,"Powsinek, Wilanów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im01ZDUxNXc2a2ZicDEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.3_NKZQaW_Z9BCIG4yzREUO_xCCHhRA_twYc4pRghIFQ/image;s=655x491;q=80,"Vilea Property Boutique
Biuro nieruchomości",6 pokoi,262 m²,19 046 zł/m²
Nowoczesny Dom w Starym Wilanowie,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/nowoczesny-dom-w-starym-wilanowie-ID4wxsT,7 500 000 zł,"Wilanów Niski, Wilanów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9sMjUxZmZ6eHJ0cS1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.e7M94ryQK2lSN4jcU6BJwvuZSSEUPbADP1cIOyN-szw/image;s=655x491;q=80,"Vilea Property Boutique
Biuro nieruchomości",7 pokoi,410 m²,18 293 zł/m²
Nowoczesny Blizniak Warszawa Wilanów 287m,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/nowoczesny-blizniak-warszawa-wilanow-287m-ID4ssIR,3 239 000 zł,"Powsinek, Wilanów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im41ZzhleW84dG1lcDMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.yq_5nqr7KLTQB95O7Pivnl6Ox6f8PPeYtljAcP9X94M/image;s=655x491;q=80,Oferta prywatna,7 pokoi,287 m²,11 286 zł/m²
Sprzedam dom wraz z działką,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/sprzedam-dom-wraz-z-dzialka-ID4kKHl,1 199 000 zł,"ul. Leśniewska, Zacisze, Targówek, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ing2aGpraTdvMm91ZDItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.LQZ6W88TypAm1CTonB16XQNFkzZxM4MhWQGdLXUGvGk/image;s=655x491;q=80,Oferta prywatna,2 pokoje,48 m²,24 979 zł/m²
7-pokojowy dom 257m2 + ogródek Bez Pośredników,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/7-pokojowy-dom-257m2-ogrodek-bez-posrednikow-ID4umE9,4 270 000 zł,"ul. Białego Dębu, Stegny, Mokotów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBpcHEweTlmdXNlcDMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.RBNxRC7cFTZ56UyXkP1sBdaESVfpktDdaGyeksBRxA4/image;s=655x491;q=80,"Skanska
Deweloper",7 pokoi,257.41 m²,16 588 zł/m²
Dom w Mysiadle!,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/dom-w-mysiadle-ID4wbB9,1 550 000 zł,"ul. Kuropatwy, Mysiadło, Lesznowola, piaseczyński, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJnbGlpbG1lZDI1NS1BUEwiLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.0RZU9zOhQ4VYqDH-sq2Lnkbof86cuvy-E_tIQ80oQfQ/image;s=655x491;q=80,"Broker Express
Biuro nieruchomości",4 pokoje,180 m²,8611 zł/m²
Segment na Targówku!,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/segment-na-targowku-ID4wn1o,2 590 000 zł,"Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFtcmNzbnE1bHR6ajItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.AsisWeE1BzGUPgTuoqD2fUlyo64CIWM4qVtUaqwRMpg/image;s=655x491;q=80,"Broker Express
Biuro nieruchomości",5 pokoi,151.4 m²,17 107 zł/m²
Rezydencja na Ursynowie!,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/rezydencja-na-ursynowie-ID4wk8o,4 399 000 zł,"Pyry, Ursynów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlqZWc3Mzk1cDg3aTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.Vfi1jL2yHJq2y9axsNg6MIyxCArTZXKdLIzqjIb_u1w/image;s=655x491;q=80,"Broker Express
Biuro nieruchomości",10+ pokoi,553.5 m²,7948 zł/m²
Segment 115m2. Świetna lokalizacja-450m do SKM,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/segment-115m2-swietna-lokalizacja-450m-do-skm-ID4wxpH,799 000 zł,"Groszówka, Wesoła, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImMwbTZsaG00cjFhOTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.TZy_fv1LqnaH5a4ZN2lFEAmeEaamb_f0pnkHxACGvhc/image;s=655x491;q=80,Oferta prywatna,5 pokoi,115.56 m²,6914 zł/m²
⭐Dom 360m2⭐Wysoki standard⭐Spokojna okolica⭐,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/dom-360m2wysoki-standardspokojna-okolica-ID4wyCX,3 600 000 zł,"ul. Porębska, Falenica, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imk0dWRnYm96Z3RrZTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.jYOxFjQ0WN8my5UrcCiDnYOJywsavtYK2Hs_XECQmeg/image;s=655x491;q=80,"Digital Broker
Biuro nieruchomości",6 pokoi,360 m²,10 000 zł/m²
Przestronny dom z ogrodem,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/przestronny-dom-z-ogrodem-ID4wrO3,1 950 000 zł,"ul. Borowiecka, Nadwiśle, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVtbjM2eHNpNXd1aTEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.bIh7n3ksYIdplDx5WvqcJ4-c-lcPKQow3NVJItHBlME/image;s=655x491;q=80,Oferta prywatna,6 pokoi,211.4 m²,9224 zł/m²
"Dom Na Natolinie, Przy Lesie, Do Zamieszkania",https://www.otodom.plhttps://www.otodom.pl/pl/oferta/dom-na-natolinie-przy-lesie-do-zamieszkania-ID4uXIV,2 650 000 zł,"Natolin, Ursynów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImkyZzZwN3Q1ZjczcjMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.FCXhFquTtjEVvkpea-wt8qW8zNSgc5DCI8T_SYNA1FQ/image;s=655x491;q=80,"WARSZAWSKIE NIERUCHOMOŚCI sprzedaż wynajem zarządzanie sp. z o.o.
Biuro nieruchomości",4 pokoje,169 m²,15 680 zł/m²
Błękitny Wawer | 3 etap | dom 3_D,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/blekitny-wawer-3-etap-dom-3-d-ID4rYV7,1 625 000 zł,"ul. Kozieradki, Nadwiśle, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InQzbWh1N3U4ZHFhLUVDT1NZU1RFTSIsInciOlt7ImZuIjoiZW52ZnFxZTFheTRrMS1BUEwiLCJzIjoiMTQiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.855G8W_-kssWDYI5bWvZutZbtTj0gPx_OYrt1BrnoUI/image;s=655x491;q=80,"Port Development Sp. z o.o.
Deweloper",5 pokoi,122.97 m²,13 215 zł/m²
Bezpośrednio - Warszawa-Wesoła - segment budynku,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/bezposrednio-warszawa-wesola-segment-budynku-ID4tO9m,1 490 000 zł,"ul. gen. Władysława Sikorskiego, Wola Grzybowska, Wesoła, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InB0bmlhYjJucGM1MDMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.wSsP-6AJiO1e1isMubfl6lqWsBObvegnddRBBwqq_Q4/image;s=655x491;q=80,Oferta prywatna,5 pokoi,295 m²,5051 zł/m²
Segment Stara Miłosna ul. Brzozowa,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/segment-stara-milosna-ul-brzozowa-ID4wDRD,1 350 000 zł,"ul. Brzozowa 13A, Stara Miłosna, Wesoła, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJ1ZjBiemFhZTYwZzEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.-oAv9n-3PFhMfUcz6LLZJyxhux3gvbF0oU6pg8EB4Nw/image;s=655x491;q=80,Oferta prywatna,6 pokoi,132 m²,10 227 zł/m²
BEZPOŚREDNIO LUX! Taras na Dachu! Nieporęt 2025R,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/bezposrednio-lux-taras-na-dachu-nieporet-2025r-ID4w6U1,2 795 000 zł,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9mMGV0eWoxNW94ejEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.1WF0Jcy8t-yFFFy9qRlKjpi3GVQrAdeI0Df8QCozLZ8/image;s=655x491;q=80,Oferta prywatna,7 pokoi,235.9 m²,11 848 zł/m²
"Wiele Możliwości, Duży Potencjał",https://www.otodom.plhttps://www.otodom.pl/pl/oferta/wiele-mozliwosci-duzy-potencjal-ID4whbM,1 273 000 zł,"ul. Grottgera, Wola Grzybowska, Wesoła, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZoZ2c0eW5kYzh1bC1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.yMDdh90NmlVroQOFoFDRdv77-FtxWbD1mf44_V0n8Uw/image;s=655x491;q=80,"WARSZAWSKIE NIERUCHOMOŚCI sprzedaż wynajem zarządzanie sp. z o.o.
Biuro nieruchomości",6 pokoi,200 m²,6365 zł/m²
"Przestronne Apartamenty, Hampton Residence Wilanow",https://www.otodom.plhttps://www.otodom.pl/pl/oferta/przestronne-apartamenty-hampton-residence-wilanow-ID4uvKz,5 500 000 zł,"ul. Prymasa Augusta Hlonda, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZjNnRsZGt3czJ4MzEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.5nB5NcPhNRDb37qV9MAJod-scY08MsnyM8QmT2AUt3w/image;s=655x491;q=80,"IENKO Group
Biuro nieruchomości",5 pokoi,227.95 m²,24 128 zł/m²
Bliżniak Na Osiedlu Zamkniętym Wawer 3 Sypialnie,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/blizniak-na-osiedlu-zamknietym-wawer-3-sypialnie-ID4wDRR,1 250 000 zł,"Nadwiśle, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNtdzhvaGdkZGE0ODMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.PqpquHBh9Zi-CMpP3adcP1gfV_H6HkXbCUw1ISc5mLI/image;s=655x491;q=80,"Via Estate
Biuro nieruchomości",4 pokoje,150 m²,8333 zł/m²
3-pokojowy dom 65m2 + ogródek Bez Prowizji,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/3-pokojowy-dom-65m2-ogrodek-bez-prowizji-ID4uyUm,Zapytaj o cenę,"ul. Stanisława Leszczyńskiego 25, Gołąbki, Ursus, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZyaXpnczRpMHljYTEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.Sl452o0jQL7Z0D-S9Tg0YR4vrH3flmfMEWF6shCj3PA/image;s=655x491;q=80,"Weisenburger
Deweloper",3 pokoje,65.39 m²,N/A
Bliźniak | Młociny | Dla rodziny,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/blizniak-mlociny-dla-rodziny-ID4usEB,3 500 000 zł,"ul. Balaton, Młociny, Bielany, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InN6OGJzZWVjMGM1cDItRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.85eztgTpobSaX7ve-ZdBrzsKXv8lYwlm7Jvlk_NAVE8/image;s=655x491;q=80,"Mengs
Biuro nieruchomości",8 pokoi,390 m²,8974 zł/m²
"Wille Powsin 198 m2, działka 706 m2, basen, sauna",https://www.otodom.plhttps://www.otodom.pl/pl/oferta/wille-powsin-198-m2-dzialka-706-m2-basen-sauna-ID4wDPI,4 000 000 zł,"ul. Potułkały, Powsin, Wilanów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InExMnU3NTZybTc3Zy1BUEwiLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.tLmu4FxhUvfb7SdDFNaaryzbcJ6ktExyz4ujMuGndX8/image;s=655x491;q=80,Oferta prywatna,5 pokoi,198 m²,20 202 zł/m²
6-pokojowy dom 178m2 + ogródek Bez Prowizji,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/6-pokojowy-dom-178m2-ogrodek-bez-prowizji-ID4u9Kw,1 790 000 zł,"ul. Kuropatwy, Mysiadło, Lesznowola, piaseczyński, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imk0ZDJ2cmhxaWprczMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.7TwJ332SOqMnZhtRGdQnoWtUWxWmo-ZJrOLo08FJBG0/image;s=655x491;q=80,"Artis Development
Deweloper",6 pokoi,178.55 m²,10 025 zł/m²
Wyjątkowy Dom Na Zielonym Ursynowie,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/wyjatkowy-dom-na-zielonym-ursynowie-ID4wDPx,2 290 000 zł,"ul. Kuropatwy, Dąbrówka, Ursynów, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im40M3Fic2J6Nml3cy1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ._8Gb6sTA3G5nBH5ACDG3iLgyCx_cJPQ6iCEGMHnbkFg/image;s=655x491;q=80,"Evolve Estate Group
Biuro nieruchomości",6 pokoi,200 m²,11 450 zł/m²
Wesoła Stara Miłosna dom przy Parku Krajobrazowym,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/wesola-stara-milosna-dom-przy-parku-krajobrazowym-ID4rXeY,1 790 000 zł,"Stara Miłosna, Wesoła, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1nMzh4NWMzcjAwbDItRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.AL-Exuw9FsuaVRscse4-KZ1XWVyqomHfCANpmTexzds/image;s=655x491;q=80,"Qubik Kolektyw Nieruchomości
Biuro nieruchomości",7 pokoi,350 m²,5114 zł/m²
0% Wawer Falenica 2020r. 147m 4pok do wejścia,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/0-wawer-falenica-2020r-147m-4pok-do-wejscia-ID4uMRE,1 349 000 zł,"Falenica, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNzZmxyZHR4Nm55djEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.DEQ5_tqs8Wox4ZGdX9zCsIY_EQplcf1ZZtbJz4ua7Eg/image;s=655x491;q=80,"Qubik Kolektyw Nieruchomości
Biuro nieruchomości",4 pokoje,147.63 m²,9138 zł/m²
4-pokojowy dom 107m2 + ogródek Bezpośrednio,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/4-pokojowy-dom-107m2-ogrodek-bezposrednio-ID4u8VW,Zapytaj o cenę,"ul. Arkadii, Nadwiśle, Wawer, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjkxZDhnNjYwaXZqMzEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.3hTzNc46Y-W_veWHZQsb4ULu_vL76N1qEqonc2iDLwI/image;s=655x491;q=80,"Alfa House
Deweloper",4 pokoje,107.62 m²,N/A
Niezniszczalny dom modułowy z kontenera morskiego,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/niezniszczalny-dom-modulowy-z-kontenera-morskiego-ID4tard,125 000 zł,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InhhOHhsZWVhcGdybjItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.Q6N3L20CQc_4uUmws4g3nLKeqsXIS_QDAGvQdCYlHHI/image;s=655x491;q=80,Oferta prywatna,1 pokój,11.6 m²,10 776 zł/m²
Dwa domy na jednej działce w centrum Wesołej,https://www.otodom.plhttps://www.otodom.pl/pl/oferta/dwa-domy-na-jednej-dzialce-w-centrum-wesolej-ID4t1XR,2 150 000 zł,"Wesoła-Centrum, Wesoła, Warszawa, mazowieckie",https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRyOHNhMnhiYjJiNDItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.yDYKfLKMZlSKWHde3TG7-EYMpUF3tCfUqdQpP0DNFlQ/image;s=655x491;q=80,Oferta prywatna,5 pokoi,200 m²,10 750 zł/m²
