Title,URL,Location,Total Price,Area,Price per m²,Property Type,Rooms,Plot Area,Description,Image
"Dom z garażem, ul. Pamiętna","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25683517.html",Wilanów Warszawa,5 750 000 zł,"256,39 m²","22 426,77 zł/m²",bliźniak,6,573 m²,The capital real estate poleca! Art Garden Wilanów to 22 ekskluzywne rezydencje z prywatnymi ogrodami realizowane w najwyższym standardzie. Osiedle luksusowych domów z prywatnym ogrodem...,https://i.st-nieruchomosci-online.pl/8kn7twc/dom-warszawa.jpg
"Dom z garażem, ul. Przejazd","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25683843.html",Marina Mokotów Warszawa,9 099 000 zł,272 m²,"33 452,21 zł/m²",bliźniak,6,348 m²,Mamy przyjemność prezentować Państwu dom na sprzedaż w zabudowie bliźniaczej znajdujące się nan osiedlu Marina Mokotów na Mokotowie Warszawy. Jest to idealna propozycja dla osób ceniących...,https://i.st-nieruchomosci-online.pl/8z39xkc/dom-warszawa.jpg
"Dom z garażem, ul. Zasadowa","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25683808.html",Wawer Warszawa,1 599 000 zł,170 m²,"9 405,88 zł/m²",bliźniak,5,400 m²,Mamy przyjemność zaprezentować Państwu 5-pokojowy Bliźniak na Wawrze przy ul. Zasadowa. Termin oddania do użytkowania: czerwiec 2024 r. Lokalizacja Doskonała lokalizacja zapewnia wygodne połączenie...,https://i.st-nieruchomosci-online.pl/8z3993c/dom-warszawa.jpg
"Dom z tarasem, ul. Zagięta","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25681730.html",Miedzeszyn Warszawa,880 000 zł,88 m²,10 000 zł/m²,dom szeregowy,6,194 m²,"Marzysz o własnym domu w zielonej i spokojnej okolicy? Oto wyjątkowa oferta - przestronny segment z ogrodem w sercu Miedzeszyna (wawer), gdzie cisza i natura łączą się...",https://i.st-nieruchomosci-online.pl/8858bsc/dom-z-garazem.jpg
"Dom bliźniak, ul. Hlonda","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25683521.html",Wilanów Warszawa,5 200 000 zł,"228,35 m²","22 772,06 zł/m²",bliźniak,5,678 m²,"Hampton Residence Wilanów Warszawa to zamknięte i luksusowe osiedle. Położone jest w modnej części Wilanowa, przy ul. Hlonda, obok Świątyni Opatrzności Bożej, w pobliżu bogatej...",https://i.st-nieruchomosci-online.pl/8kn7v1c/dom-warszawa.jpg
"Dom z garażem, ul. Zagórzańska","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25681605.html",Falenica Warszawa,966 000 zł,160 m²,"6 037,50 zł/m²",bliźniak,7,1 380 m²,Dom bliźniaczy z dużą działką w zielonej okolicy - świetna cena! Szukasz przestronnego i funkcjonalnego domu w spokojnej okolicy? Mam coś dla Ciebie. Na sprzedaż dom jednorodzinny...,https://i.st-nieruchomosci-online.pl/88fyzqc/dom-warszawa-sprzedaz.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,z-parkingiem/25683183.html",Wawer Warszawa,9 900 000 zł,1 260 m²,"7 857,14 zł/m²",dom wolnostojący,30,3 921 m²,"Samodzielny budynek produkcyjno - magazynowo - biurowy w Wawrze o powierzchni całkowitej 1.260 mkw, na działce o powierzchni 3.921 m2 (25 m/156 m). Powierzchnia magazynowo - produkcyjna 417...",https://i.st-nieruchomosci-online.pl/ht8mkdc/dom-warszawa.jpg
"Dom z garażem, ul. Wróbla","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25681662.html",Służew Warszawa,3 900 000 zł,348 m²,"11 206,90 zł/m²",bliźniak,10,572 m²,Na sprzedaż działka inwestycyjna zabudowana trzema budynkami - doskonała okazja inwestycyjna! Świetna lokalizacja. Oferuję bezpośrednio na sprzedaż działkę inwestycyjną składającą się...,https://i.st-nieruchomosci-online.pl/8kngn4c/dom-warszawa.jpg
"Dom z garażem, ul. Łęgowa","https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,z-balkonem/25681500.html",Powsin Warszawa,2 870 000 zł,"284,18 m²",10 099 zł/m²,dom wolnostojący,6,1 470 m²,"Powsin I Dom I 6 pokoi I ulica Łęgowa l Jezioro To miejsce, które z pewnością oczaruje każdego, kto marzy o własnej oazie spokoju w otoczeniu zieleni, jeziora, ale...",https://i.st-nieruchomosci-online.pl/8hp5zdc/dom-z-garazem.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,nad-rzeka/25681238.html",Wilanów Warszawa,6 999 999 zł,"459,96 m²","15 218,71 zł/m²",dom wolnostojący,7,2 000 m²,"Spectre 001 Nowoczesna Rezydencja Premium w Konstancinie-Jeziornie Zapraszamy do odkrycia spectre 001 wyjątkowej rezydencji o ponadczasowej architekturze, położonej w prestiżowej...",https://i.st-nieruchomosci-online.pl/8ktnfrc/dom-konstancin-jeziorna.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25681247.html",Wilanów Warszawa,4 490 000 zł,"298,38 m²","15 047,93 zł/m²",bliźniak,6,943 m²,"Spectre 003 Nowoczesna rezydencja w prestiżowym Konstancinie-Jeziornie Przedstawiamy spectre 003 niezwykłą rezydencję, w której luksus spotyka się z perfekcją architektoniczną. Ten...",https://i.st-nieruchomosci-online.pl/8kv393c/dom-konstancin-jeziorna.jpg
"Dom z garażem, ul. Łęgowa","https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,z-parkingiem/25681502.html",Powsin Warszawa,2 869 000 zł,"284,18 m²",10 096 zł/m²,dom wolnostojący,6,1 470 m²,"Powsin I Dom I 6 pokoi I ulica Łęgowa l Jezioro To miejsce, które z pewnością oczaruje każdego, kto marzy o własnej oazie spokoju w otoczeniu zieleni, jeziora, ale...",https://i.st-nieruchomosci-online.pl/8hp5zqc/dom-warszawa.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25681240.html",Wilanów Warszawa,4 690 000 zł,"313,15 m²","14 976,85 zł/m²",bliźniak,6,1 006 m²,"Spectre 002 Luksusowa Rezydencja w Konstancinie-Jeziornie Zapraszamy do odkrycia spectre 002, wyjątkowej rezydencji zlokalizowanej w prestiżowej części Konstancina-Jeziorny. Ten unikalny dom...",https://i.st-nieruchomosci-online.pl/8kv335c/dom-konstancin-jeziorna-sprzedaz.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25680242.html",Falenica Warszawa,1 749 000 zł,174 m²,"10 051,72 zł/m²",dom szeregowy,4,321 m²,"Przestronny narożny segment w zielonej części Wawra idealny dla rodziny! Na sprzedaż funkcjonalny, piętrowy dom w zabudowie szeregowej o bardzo dobrym standardzie wykończenia. Położony...",https://i.st-nieruchomosci-online.pl/8k1mvqc/dom-warszawa.jpg
"Dom z tarasem, ul. Zagórzańska","https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,wysoki-standard/25680464.html",Wawer Warszawa,4 850 000 zł,260 m²,"18 653,85 zł/m²",dom wolnostojący,6,1 400 m²,"for english please scroll down Dom z ogrodem, z 5 sypialniami i 3 łazienkami, kominek, sauna, garaż na 2 auta. utrzymany w stylu kolonialnym, dla rodziny, która z radością...",https://i.st-nieruchomosci-online.pl/8k16ryc/dom-warszawa.jpg
"Dom z garażem, ul. Waniliowa","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25680288.html",Powsin Warszawa,3 699 000 zł,255 m²,"14 505,88 zł/m²",bliźniak,5,450 m²,Mam do zaoferowania nowoczesny dom zlokalizowany przy ul. Waniliowej 3C w Warszawie (wilanów Powsin) Powierzchnia działki 450m2 Powierzchnia nieruchomości 255m2 Parter: przestronny salon...,https://i.st-nieruchomosci-online.pl/8k17gtc/dom-warszawa.jpg
Dom wolnostojący Warszawa,"https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,z-balkonem/25680146.html",Ursus Warszawa,2 995 000 zł,495 m²,"6 050,51 zł/m²",dom wolnostojący,10,737 m²,"Przestronny dom w willowej dzielnicy Ursus Gołąbki Na sprzedaż komfortowy, przestronny dom (495 mkw.) w otoczeniu zieleni (działka 737 mkw.) położony w Warszawie w dzielnicy Ursus,...",https://i.st-nieruchomosci-online.pl/8k1599c/dom-warszawa.jpg
"Dom z garażem, ul. Komfortowa","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25235102.html",Wilanów Warszawa,5 250 000 zł,285 m²,"18 421,05 zł/m²",bliźniak,-,650 m²,Piękny dom z basenem i ogrodem na sprzedaż w prestiżowej lokalizacji Wilanów. Nieruchomość znajduje się na zamkniętym osiedlu willowym z całodobową ochroną. Wykończony...,https://i.st-nieruchomosci-online.pl/8hk28kc/dom-warszawa.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,z-parkingiem/25512683.html",Olesin Warszawa,3 650 000 zł,"426,14 m²","8 565,26 zł/m²",dom wolnostojący,8,1 930 m²,Oferta wyłącznie U nas! nowoczesny dom dla wyjątkowej rodziny ! Na sprzedaż nowoczesny dom z 2012 roku na Białołęce (kobiałka) w stanie do wprowadzenia z kosztami utrzymania na...,https://i.st-nieruchomosci-online.pl/8h8b1vc/dom-warszawa.jpg
"Dom bliźniak, ul. Sarabandy","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25594078.html",Ursynów Warszawa,1 308 375 zł,"116,30 m²",11 250 zł/m²,bliźniak,5,305 m²,"Zapraszamy do zapoznania się z naszą inwestycją osiedla zacisze ursynów, która składa się z domów w zabudowie bliźniaczej oraz czterolokalowej - aż 18 lokali w ofercie! 2 miejsca...",https://i.st-nieruchomosci-online.pl/88t32pc/dom-warszawa.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,z-parkingiem/25055289.html",Wilanów Warszawa,4 590 000 zł,270 m²,17 000 zł/m²,dom wolnostojący,7,832 m²,"Dom do remontu lub rozbudowy w sąsiedztwie willi miejskich, rezydencji i ambasad w Starym Wilanowie. Idealny dla rodziny szukającej przestrzeni i dużej działki blisko Miasteczka...",https://i.st-nieruchomosci-online.pl/88pp7kc/dom-z-parkingiem.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25419688.html",Mokotów Warszawa,6 990 000 zł,"260,10 m²","26 874,28 zł/m²",bliźniak,6,397 m²,"Przedstawiamy Państwu elegancki dom na sprzedaż usytuowany w samym sercu warszawskiego Mokotowa. Dom jest w zabudowie bliźniaczej, komfortowy, otwarty z dużym tarasem i ładnym...",https://i.st-nieruchomosci-online.pl/8ycndgc/dom-warszawa.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,przy-lesie/25153794.html",Ursynów Warszawa,2 650 000 zł,200 m²,13 250 zł/m²,dom wolnostojący,7,1 944 m²,"Uroczy, nieduży dom z lat pięćdziesiątych otoczony bujnym ogrodem i sadem, położony w bliskim sąsiedztwie Lasu Kabackiego w dzielnicy Warszawa-Ursynów. Dom znajduje się przy ul....",https://i.st-nieruchomosci-online.pl/8pmgf4c/dom-warszawa.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,wysoki-standard/25187981.html",Wilanów Warszawa,7 000 000 zł,506 m²,"13 833,99 zł/m²",dom wolnostojący,7,900 m²,": krótko: wilanów, osiedle Patio | jasny, przestronny, wolnostojący dom po remoncie, gotowy do wprowadzenia | 506m2 powierzchni całkowitej, 463m2 powierzchni użytkowej | piękny ogród | spokojna...",https://i.st-nieruchomosci-online.pl/8s8g6hc/dom-warszawa.jpg
"Dom z garażem, ul. Przestronna","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25206087.html",Zawady Warszawa,2 180 000 zł,"191,28 m²","12 285,65 zł/m²",bliźniak,5,409 m²,": krótko: bliźniak o powierzchni 191,28 m w stanie deweloperskim, położony na działce 409 m . : dla kogo? Doskonale sprawdzi się dla par oraz rodzin z jednym lub dwójką dzieci. To...",https://i.st-nieruchomosci-online.pl/8sbx1gc/dom-warszawa-sprzedaz.jpg
Nowy bliźniak ul. Zielona,"https://podolszyn.nieruchomosci-online.pl/nowy-dom,zielono-mi/25510063.html?2,dom",Podolszyn (Warszawa + 1 km),679 000 zł,"76,58 m²","8 866,54 zł/m²",deweloperski,3,III kwartał 2025,"Na parterze znajduje się przestronny salon z aneksem kuchennym oraz wyjście do prywatnego ogrodu. Dodatkowo znajduje się tutaj hol z miejscem na szafę, praktyczny schowek pod schodami oraz...",https://i.st-nieruchomosci-online.pl/h7vhkrc/zielono-mi-4.jpg
Nowy bliźniak ul. Zielona,"https://podolszyn.nieruchomosci-online.pl/nowy-dom,zielono-mi/24662113.html?2,dom",Podolszyn (Warszawa + 1 km),739 000 zł,"85,87 m²","8 606,03 zł/m²",deweloperski,4,I kwartał 2025,"Przedstawiamy 85-metrowy dom, idealny dla rodzin ceniących przestrzeń i bliskość natury. Na parterze znajduje się salon z wyjściem do ogrodu, funkcjonalna kuchnia, hol z miejscem na...",https://i.st-nieruchomosci-online.pl/h68ffkc/dom-podolszyn.jpg
Nowy bliźniak ul. Zielona,"https://podolszyn.nieruchomosci-online.pl/nowy-dom,zielono-mi/24661844.html?2,dom",Podolszyn (Warszawa + 1 km),739 000 zł,"85,87 m²","8 606,03 zł/m²",deweloperski,4,I kwartał 2025,"Przedstawiamy 85-metrowy dom, idealny dla rodzin ceniących przestrzeń i bliskość natury. Na parterze znajduje się salon z wyjściem do ogrodu, funkcjonalna kuchnia, hol z miejscem na...",https://i.st-nieruchomosci-online.pl/h682brc/dom-podolszyn.jpg
"Dom bliźniak, ul. Ulanowska","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/24256681.html",Wawer Warszawa,1 490 000 zł,233 m²,"6 394,85 zł/m²",bliźniak,6,300 m²,"Dom bliźniak z 2008 roku, położony na nowym zamkniętym, ogrodzonym osiedlu w warszawskiej dzielnicy Wawer. Bliskość Traktu Lubelskiego oraz Wału Miedzeszyńskiego zapewnia mieszkańcom...",https://i.st-nieruchomosci-online.pl/h4766xc/dom-warszawa.jpg
Dom z tarasem,"https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25055238.html",Białołęka Warszawa,2 290 000 zł,160 m²,"14 312,50 zł/m²",bliźniak,6,200 m²,"Stylowy, niepowtarzalny architektonicznie dom o oryginalnym charakterze i zakopiańskim stylu, łączący nowoczesny wystrój z naturalnymi elementami ciepłego drewna. Położony...",https://i.st-nieruchomosci-online.pl/8kkcg2c/dom-warszawa.jpg
"Dom szeregowy, ul. Pod Brzozami","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25635626.html",Wawer Warszawa,999 999 zł,"70,47 m²","14 190,42 zł/m²",dom szeregowy,3,150 m²,"Na sprzedaż przestronne mieszkanie o powierzchni 70,47 m , położone w budynku w zabudowie szeregowej z 2015 roku (zamieszkałym od 2016 roku), zlokalizowanym przy ul. Pod Brzozami...",https://i.st-nieruchomosci-online.pl/8k2y8rc/dom-warszawa.jpg
"Dom z garażem, ul. Powstańców Śląskich","https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,do-remontu/25186502.html",Bemowo Warszawa,4 950 000 zł,970 m²,"5 103,09 zł/m²",dom wolnostojący,10,964 m²,Oferuję do sprzedaży budynek mieszkalno- handlowo- usługowy o powierzchni użytkowej 970 m2 zlokalizowanej na działce o powierzchni 964 m2. Aktualnie część budynku jest wykorzystywana na cele...,https://i.st-nieruchomosci-online.pl/8shmm4c/dom-warszawa.jpg
Nowy bliźniak ul. Krzywa,"https://jazgarzewszczyzna.nieruchomosci-online.pl/nowy-dom,wille-przy-lesie/25391581.html?2,dom",Jazgarzewszczyzna (Warszawa + 6 km),1 089 000 zł,"142,59 m²","7 637,28 zł/m²",deweloperski,6,IV kwartał 2026,"Dom o powierzchni 142 m2 będzie doskonały dla rodziny z dziećmi. Na parterze jest przestronny, ponad 30-metrowy salon z aneksem kuchennym oraz wyjściem do ogrodu, łazienka dla gości...",https://i.st-nieruchomosci-online.pl/8fbqwnc/dom-jazgarzewszczyzna.jpg
Nowy bliźniak ul. Krzywa,"https://jazgarzewszczyzna.nieruchomosci-online.pl/nowy-dom,wille-przy-lesie/25391746.html?2,dom",Jazgarzewszczyzna (Warszawa + 6 km),1 299 000 zł,"139,23 m²","9 329,89 zł/m²",deweloperski,6,IV kwartał 2026,"Ten 139-metrowy dom to sześć pokoi na trzech kondygnacjach. Na parterze jest ponad 30-metrowy salon z aneksem kuchennym i wyjściem do słonecznego ogrodu z ekspozycją południową, gabinet...",https://i.st-nieruchomosci-online.pl/8fm7rhc/dom-jazgarzewszczyzna.jpg
Nowy bliźniak ul. Krzywa,"https://jazgarzewszczyzna.nieruchomosci-online.pl/nowy-dom,wille-przy-lesie/25391742.html?2,dom",Jazgarzewszczyzna (Warszawa + 6 km),1 269 000 zł,"139,23 m²","9 114,41 zł/m²",deweloperski,6,IV kwartał 2026,"Ten 139-metrowy dom to sześć pokoi na trzech kondygnacjach. Na parterze jest ponad 30-metrowy salon z aneksem kuchennym i wyjściem do słonecznego ogrodu z ekspozycją południową, gabinet...",https://i.st-nieruchomosci-online.pl/8fm7z1c/dom-jazgarzewszczyzna.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25636011.html",Zawady Warszawa,2 390 000 zł,304 m²,"7 861,84 zł/m²",bliźniak,6,477 m²,Przestronny i nowoczesny dom dla rodziny w kameralnej inwestycji na Wilanowie Odkryj wyjątkowy dom w prestiżowej kameralnej inwestycji zaprojektowany przez renomowane warszawskie biuro...,https://i.st-nieruchomosci-online.pl/8k2f39c/dom-warszawa.jpg
Dom z tarasem Warszawa,"https://warszawa.nieruchomosci-online.pl/umeblowany,dom-wolnostojacy/25175350.html",Wawer Warszawa,2 950 000 zł,"204,60 m²","14 418,38 zł/m²",dom wolnostojący,5,2 239 m²,"Dobrze skomunikowany dom, z naturą na wyciągnięcie ręki! Czy widzisz już siebie na tym tarasie, pijącego poranną kawę, otoczonego bujną zielenią? Mam dla Ciebie wspaniałą ofertę klasyczny...",https://i.st-nieruchomosci-online.pl/8spm6gc/dom-warszawa.jpg
"Dom bliźniak, ul. Wiechy","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25341360.html",Powsin Warszawa,1 549 000 zł,"149,95 m²","10 330,11 zł/m²",bliźniak,5,538 m²,"Miasteczko Powsin etap III, to miejsce idealne dla osób szukających balansu pomiędzy miejskim życiem, a spokojem pośród zielonych terenów. To domy zaprojektowane w odpowiedzi na potrzeby...",https://i.st-nieruchomosci-online.pl/8f3sybc/dom-warszawa.jpg
"Dom wolnostojący, ul. Westerplatte","https://warszawa.nieruchomosci-online.pl/umeblowany,dom-wolnostojacy/25474084.html",Boernerowo Warszawa,2 490 000 zł,460 m²,5 413 zł/m²,dom wolnostojący,15,900 m²,Okazja inwestycyjna ! Dom ten to ideale rozwiązanie dla osób chcących zainwestować w dochodową nieruchomość. Dom jest trzykondygnacyjny o powierzchni 460m2 i jest podzielony na 10...,https://i.st-nieruchomosci-online.pl/8g7t5vc/dom-warszawa.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,podpiwniczony/23490041.html",Bemowo Warszawa,5 000 000 zł,550 m²,"9 090,91 zł/m²",dom wolnostojący,6,1 000 m²,"Piękny, nowoczesny i funkcjonalny dom na Bemowie. Wjazd na teren posesji jest z dwóch, równoległych ulic. Dwie kondygnacje, ale praktycznie nie jest tak do końca, ponieważ są półpiętra....",https://i.st-nieruchomosci-online.pl/hswfn9c/dom-warszawa.jpg
"Dom z garażem, ul. Chorągwi Pancernej","https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,z-garazem/23813840.html",Wilanów Warszawa,4 300 000 zł,680 m²,"6 323,53 zł/m²",dom wolnostojący,15,380 m²,Avenue Estate prezentuje wyjątkowy budynek biurowo-usługowy zlokalizowany w Królewskim Wilanowie. Możliwy zakup inwestycyjny z najemcą. Atuty - Oryginalna architektura oraz wysoki standard -...,https://i.st-nieruchomosci-online.pl/h6zcqrc/lokal-warszawa.jpg
Nowy bliźniak ul. Widok,"https://ozarow-mazowiecki.nieruchomosci-online.pl/nowy-dom,miasto-ogrod-5/25615923.html?2,dom",Ożarów Mazowiecki (Warszawa + 3 km),1 099 000 zł,"109,04 m²","10 078,87 zł/m²",deweloperski,5,III kwartał 2026,"Dom o powierzchni 108 m , zaprojektowany z myślą o Twojej rodzinie. Na parterze znajdziesz funkcjonalną spiżarnię, gabinet oraz przestronny, ponad 30-metrowy salon z aneksem...",https://i.st-nieruchomosci-online.pl/88n635c/miasto-ogrod-5.jpg
Nowy bliźniak ul. Widok,"https://ozarow-mazowiecki.nieruchomosci-online.pl/nowy-dom,miasto-ogrod-5/25615936.html?2,dom",Ożarów Mazowiecki (Warszawa + 3 km),1 229 000 zł,"134,76 m²","9 119,92 zł/m²",deweloperski,5,III kwartał 2026,"Ten 134-metrowy dom to przestrzeń, jakiej potrzebuje Twoja rodzina. Duży hall pomieści szafy, a strefa dzienna to 40-metrowy salon z kuchnią i jadalnią, które będą sercem Waszych...",https://i.st-nieruchomosci-online.pl/88n635c/miasto-ogrod-5.jpg
Nowy bliźniak ul. Widok,"https://ozarow-mazowiecki.nieruchomosci-online.pl/nowy-dom,miasto-ogrod-5/25615911.html?2,dom",Ożarów Mazowiecki (Warszawa + 3 km),1 239 000 zł,"134,76 m²","9 194,12 zł/m²",deweloperski,5,III kwartał 2026,"Dom o powierzchni 134 m z narożnym ogrodem o wschodniej ekspozycji, gdzie poranne słońce towarzyszy domownikom już od świtu. Na parterze jest łazienka, duży hall z miejscem na szafy...",https://i.st-nieruchomosci-online.pl/88n635c/miasto-ogrod-5.jpg
Dom wolnostojący Warszawa,"https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25665465.html",Ursynów Warszawa,4 500 000 zł,354 m²,"12 711,86 zł/m²",dom wolnostojący,10,1 497 m²,Dom jest usytuowany na osiedlu zamkniętym. Najbliższe sąsiedztwo stanowią 2 domy wynajmowane na rezydencje ambasadorów. Wszystkie 3 domy stanowią luksusowy kompleks z prywatnym kortem tenisowym...,https://i.st-nieruchomosci-online.pl/8kv4smc/dom-warszawa.jpg
"Dom z garażem, ul. Korkowa","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25635502.html",Marysin Wawerski Warszawa,2 500 000 zł,122 m²,20 492 zł/m²,dom szeregowy,6,79 m²,"Mam przyjemność zaprezentować Państwu wyjątkowe, wykonane w najwyższej jakości materiałów Domy Szeregowe Wille Potockich w stanie deweloperskim w Marysinie Wawerskim. To doskonała...",https://i.st-nieruchomosci-online.pl/8k2qm1c/dom-warszawa-sprzedaz.jpg
Dom z tarasem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25585334.html",Powsin Warszawa,2 350 000 zł,280 m²,"8 392,86 zł/m²",dom szeregowy,6,298 m²,"| polecam na sprzedaż segment w Powsinie. Powierzchnia całkowita domu to 280 m2, działka zagospodarowana - pow. 298 m2. Do dyspozycji 4 kondygnacje. Parter: salon z kominkiem, połączony...",https://i.st-nieruchomosci-online.pl/88rrfqc/dom-warszawa.jpg
"Dom z tarasem, ul. Trombity","https://warszawa.nieruchomosci-online.pl/umeblowany,dom-wolnostojacy/24973345.html",Ursynów Warszawa,2 470 000 zł,279 m²,"8 853,05 zł/m²",dom wolnostojący,6,700 m²,"Zamieszkaj w wyjątkowym domu na Ursynowie Południowym - przestrzeń, komfort i natura w idealnym połączeniu! Szukasz miejsca, które łączy ciszę i spokój z wygodnym dostępem...",https://i.st-nieruchomosci-online.pl/8k8mybc/dom-taras.jpg
Dom bliźniak Warszawa,"https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/21630435.html",Wilanów Warszawa,4 000 000 zł,415 m²,"9 638,55 zł/m²",bliźniak,6,745 m²,Do sprzedania piękny i komfortowy dom usytuowany w bardzo prestiżowej okolicy jaką jest stara część Wilanowa ( bliskie sąsiedztwo Pałacu Królewskiego wraz z okalającym go zabytkowym...,https://i.st-nieruchomosci-online.pl/hs96dzc/dom-warszawa.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,przy-lesie/25679183.html",Międzylesie Warszawa,3 300 000 zł,437 m²,"7 551,49 zł/m²",dom wolnostojący,10,520 m²,"Reprezentacyjny dom w Międzylesiu o powierzchni 435 m2 na działce 520 m2 : 10 pokoi, dwie kuchnie, 6 toalet/łazienek, 2 pomieszczenia gospodarcze. Ogrodzenie murowane. Na posesji liczne świerki...",https://i.st-nieruchomosci-online.pl/hty12qc/dom-warszawa.jpg
"Willa z tarasem, Aleja Dzieci Polskich","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25679339.html",Międzylesie Warszawa,6 350 000 zł,500 m²,12 700 zł/m²,rezydencja,8,3 829 m²,"Wyjątkowa rezydencja otoczona pięknym lasem w Międzylesiu, w okolicy Centrum Zdrowia Dziecka przy Al. Dzieci Polskich. Dom o powierzchni 500m na działce 3.829 mkw. Istnieje możliwość...",https://i.st-nieruchomosci-online.pl/8qc8c7c/dom-warszawa.jpg
Dom z garażem Warszawa,"https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,do-odswiezenia/25679077.html",Wesoła Warszawa,1 987 000 zł,256 m²,"7 761,72 zł/m²",dom wolnostojący,5,575 m²,"Wyobraź sobie, że mieszkasz w świetnym miejscu - centrum dzielnicy i jednocześnie blisko lasu a do pracy schodzisz tylko po schodach. Brzmi dobrze? Takie możliwości daje dom położony...",https://i.st-nieruchomosci-online.pl/8k1yd4c/dom-warszawa.jpg
"Dom z garażem, ul. Marii Kazimiery","https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,podpiwniczony/25583915.html",Żoliborz Warszawa,3 750 000 zł,260 m²,"14 423,08 zł/m²",dom wolnostojący,7,450 m²,"**przestronny dom jednorodzinny na Żoliborzu - idealny do własnej aranżacji** Na sprzedaż wolnostojący dom jednorodzinny o powierzchni użytkowej 260 m , położony na zadbanej działce...",https://i.st-nieruchomosci-online.pl/88r9d5c/dom-warszawa.jpg
"Dom wolnostojący, ul. Żeligowskiego","https://warszawa.nieruchomosci-online.pl/dom-wolnostojacy,do-remontu/25633288.html",Rembertów Warszawa,830 000 zł,190 m²,"4 368,42 zł/m²",dom wolnostojący,5,655 m²,"Przedmiotem sprzedaży jest nieruchomość zabudowana budynkiem wolnostojącym - Willa Tamara z 1938 r. Parter: duży hol (10m2), 3 przestronne pokoje. Powierzchnie pokoi 20/21/22 m2. Duża (15 m2),...",https://i.st-nieruchomosci-online.pl/8kd9xgc/dom-warszawa.jpg
"Dom z garażem, ul. Miejska","https://warszawa.nieruchomosci-online.pl/dom,na-sprzedaz/25605082.html",Bemowo Warszawa,3 200 000 zł,271 m²,"11 808,12 zł/m²",bliźniak,4,634 m²,":Krótko: bemowo/jelonki, bliźniak 271m2 na działce 634m2 / W drugiej części ogrodu samodzielny domek gościnny 90m2 / Nieruchomość położona w zacisznej okolicy Bemowa - Jelonki, wśród...",https://i.st-nieruchomosci-online.pl/8w5hpkc/dom-warszawa-sprzedaz.jpg
